Username,Section,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7.8,Ch9,Ch10,Ch11,Ch12,Ch15I,Ch15II,Ch16,Ch17,Ch18,Ch19,Ch20,AvgCrtPct
GH13f0427,4,88.5714285714286,96.7741935483871,93.75,88.8888888888889,46.1538461538462,100,88.5714285714286,100,97.6190476190476,93.9393939393939,100,74.2857142857143,NA,91.304347826087,100,97.4358974358974,92.8571428571429,100,91.1853723351331
GH13f0395,4,100,NA,96.875,85.1833333333333,92.3076923076923,94.4444444444444,76.4285714285714,100,100,93.9393939393939,100,68.5714285714286,NA,78.2608695652174,100,76.9230769230769,100,NA,90.8622540342106
GH13f0133,4,100,83.8709677419355,93.75,87.0388888888889,NA,NA,86.4285714285714,NA,90.4761904761905,96.969696969697,100,NA,84.2857142857143,73.9130434782609,96.1538461538462,82.051282051282,100,95.8333333333333,90.7693953434086
GH13f0387,4,100,93.5483870967742,93.75,94.4444444444444,92.3076923076923,83.3333333333333,90,100,92.8571428571429,93.9393939393939,87.5,77.1428571428572,97.1428571428571,NA,88.4615384615385,69.2307692307692,NA,95.8333333333333,90.5932343306335
GH13f0434,4,100,96.7741935483871,90.625,83.3333333333333,88.4615384615385,97.2222222222222,88.5714285714286,100,100,96.969696969697,87.5,88.5714285714286,71.4285714285714,86.9565217391304,92.3076923076923,69.2307692307692,100,87.5,90.3029109102333
GH13f0391,4,100,90.3225806451613,93.75,88.8888888888889,88.4615384615385,100,79.2857142857143,90.9090909090909,90.4761904761905,84.8484848484848,100,71.4285714285714,88.5714285714286,91.304347826087,88.4615384615385,94.8717948717949,100,83.3333333333333,90.2729723893235
GH13f0425,4,94.2857142857143,96.7741935483871,87.5,88.8888888888889,96.1538461538462,93.0555555555556,88.5714285714286,100,90.4761904761905,96.969696969697,100,71.4285714285714,85.7142857142857,95.6521739130435,100,76.9230769230769,100,62.5,90.2718679127047
GH13f0439,4,100,96.7741935483871,90.625,77.7777777777778,80.7692307692308,100,70.7142857142857,90.9090909090909,92.8571428571429,90.9090909090909,NA,80,88.5714285714286,86.9565217391304,100,97.4358974358974,100,83.3333333333333,89.8607643273409
GH13f0404,4,100,90.3225806451613,78.125,94.4444444444444,92.3076923076923,94.4444444444444,76.4285714285714,90.9090909090909,95.2380952380952,96.969696969697,100,80,NA,82.6086956521739,92.3076923076923,71.7948717948718,100,91.6666666666667,89.8569142828589
GH13f0136,4,100,100,93.75,94.4444444444444,92.3076923076923,94.4444444444444,87.8571428571429,NA,92.8571428571429,81.8181818181818,NA,77.1428571428572,80,95.6521739130435,84.6153846153846,84.6153846153846,85.7142857142857,91.6666666666667,89.8053625872919
GH13f0419,4,97.1428571428571,96.7741935483871,87.5,88.8888888888889,96.1538461538462,88.8888888888889,91.4285714285714,100,88.0952380952381,84.8484848484848,87.5,88.5714285714286,88.5714285714286,82.6086956521739,88.4615384615385,82.051282051282,92.8571428571429,75,89.1856936200087
GH13f0405,4,100,87.0967741935484,84.375,83.3333333333333,92.3076923076923,94.4444444444444,91.4285714285714,72.7272727272727,90.4761904761905,100,100,85.7142857142857,82.8571428571429,95.6521739130435,88.4615384615385,87.1794871794872,92.8571428571429,70.8333333333333,88.874687957057
GH13f0393,4,100,93.5483870967742,90.625,84.4444444444444,80.7692307692308,100,89.2857142857143,90.9090909090909,97.6190476190476,72.7272727272727,100,80,68.5714285714286,78.2608695652174,92.3076923076923,92.3076923076923,100,87.5,88.8264372557559
GH13f0436,4,100,96.7741935483871,96.875,94.4444444444444,84.6153846153846,88.8888888888889,90,100,NA,93.9393939393939,87.5,40,71.4285714285714,91.304347826087,100,89.7435897435898,92.8571428571429,91.6666666666667,88.8257425857975
GH13f0432,4,97.1428571428571,96.7741935483871,84.375,88.8888888888889,100,94.4444444444444,97.1428571428571,90.9090909090909,88.0952380952381,87.8787878787879,100,91.4285714285714,85.7142857142857,95.6521739130435,96.1538461538462,53.8461538461538,92.8571428571429,54.1666666666667,88.6372332572368
GH13f0386,4,100,100,96.875,NA,96.1538461538462,NA,85.7142857142857,81.8181818181818,90.4761904761905,87.8787878787879,100,85.7142857142857,NA,100,100,7.69230769230769,100,95.8333333333333,88.5437479187479
GH13f0413,4,100,96.7741935483871,90.625,88.8888888888889,80.7692307692308,94.4444444444444,77.1428571428572,100,88.0952380952381,93.9393939393939,100,71.4285714285714,85.7142857142857,95.6521739130435,80.7692307692308,82.051282051282,64.2857142857143,83.3333333333333,87.4396576846612
GH13f0037,4,97.1428571428571,100,71.875,80.5555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.3933531746032
GH13f0415,4,100,77.4193548387097,84.375,83.3333333333333,88.4615384615385,72.2222222222222,91.4285714285714,100,97.6190476190476,93.9393939393939,100,82.8571428571429,85.7142857142857,82.6086956521739,92.3076923076923,79.4871794871795,78.5714285714286,66.6666666666667,86.5006418388548
GH13f0420,4,100,90.3225806451613,87.5,88.8888888888889,80.7692307692308,100,85.7142857142857,100,97.6190476190476,81.8181818181818,100,51.4285714285714,74.2857142857143,82.6086956521739,84.6153846153846,NA,78.5714285714286,83.3333333333333,86.3220790200825
GH13f0409,4,94.2857142857143,83.8709677419355,84.375,72.2222222222222,76.9230769230769,69.4444444444444,88.5714285714286,90.9090909090909,97.6190476190476,87.8787878787879,87.5,62.8571428571429,94.2857142857143,82.6086956521739,96.1538461538462,87.1794871794872,100,95.8333333333333,86.2510000031915
GH13f0428,4,97.1428571428571,87.0967741935484,78.125,77.7777777777778,84.6153846153846,100,87.8571428571429,100,80.9523809523809,66.6666666666667,87.5,65.7142857142857,82.8571428571429,82.6086956521739,96.1538461538462,82.051282051282,100,91.6666666666667,86.0436612945087
GH13f0388,4,100,80.6451612903226,NA,77.7777777777778,84.6153846153846,94.4444444444444,71.4285714285714,81.8181818181818,90.4761904761905,93.9393939393939,100,77.1428571428572,87.1428571428571,67.3913043478261,NA,84.6153846153846,85.7142857142857,91.6666666666667,85.551153838759
GH13f0437,4,77.1428571428572,83.8709677419355,68.75,94.4444444444444,92.3076923076923,88.8888888888889,91.4285714285714,100,85.7142857142857,30.3030303030303,100,97.1428571428571,77.1428571428572,100,88.4615384615385,79.4871794871795,100,83.3333333333333,85.4676946410817
GH13f0016,4,94.2857142857143,87.0967741935484,87.5,NA,NA,NA,NA,NA,85.7142857142857,NA,100,NA,62.8571428571429,82.6086956521739,84.6153846153846,82.051282051282,NA,NA,85.1921421521702
GH13f0435,4,100,93.5483870967742,90.625,91.6666666666667,88.4615384615385,77.7777777777778,55,100,92.8571428571429,72.7272727272727,87.5,71.4285714285714,91.4285714285714,86.9565217391304,76.9230769230769,82.051282051282,92.8571428571429,79.1666666666667,85.0542010378675
GH13f0416,4,100,96.7741935483871,75,88.8888888888889,73.0769230769231,94.4444444444444,61.4285714285714,81.8181818181818,83.3333333333333,75.7575757575758,87.5,100,97.1428571428571,82.6086956521739,76.9230769230769,74.3589743589744,100,79.1666666666667,84.9012435022253
GH13f0449,4,100,96.7741935483871,90.625,77.7777777777778,73.0769230769231,100,82.8571428571429,81.8181818181818,95.2380952380952,87.8787878787879,87.5,77.1428571428572,68.5714285714286,82.6086956521739,84.6153846153846,89.7435897435898,57.1428571428571,87.5,84.4928286146437
GH13f0426,4,100,90.3225806451613,65.625,NA,NA,NA,NA,90.9090909090909,92.8571428571429,81.8181818181818,100,54.2857142857143,NA,NA,NA,NA,NA,NA,84.4772138144114
GH13f0134,4,NA,100,78.125,64.8166666666667,50,94.4444444444444,87.8571428571429,NA,95.2380952380952,96.969696969697,100,82.8571428571429,60,91.304347826087,96.1538461538462,79.4871794871795,92.8571428571429,79.1666666666667,84.3298357515069
GH13f0431,4,100,93.5483870967742,87.5,100,84.6153846153846,16.6666666666667,90,100,92.8571428571429,66.6666666666667,100,60,74.2857142857143,91.304347826087,96.1538461538462,87.1794871794872,NA,91.6666666666667,84.2614300008492
GH13f0130,4,91.4285714285714,80.6451612903226,56.25,52.2222222222222,92.3076923076923,94.4444444444444,97.1428571428571,NA,54.7619047619048,90.9090909090909,100,80,88.5714285714286,95.6521739130435,100,92.3076923076923,100,58.3333333333333,83.8221513313296
GH13f0445,4,100,96.7741935483871,84.375,77.7777777777778,76.9230769230769,91.6666666666667,77.1428571428572,81.8181818181818,95.2380952380952,93.9393939393939,NA,60,60,82.6086956521739,100,87.1794871794872,71.4285714285714,87.5,83.7865880773335
GH13f0128,4,100,90.3225806451613,78.125,77.7777777777778,84.6153846153846,94.4444444444444,41.4285714285714,NA,95.2380952380952,78.7878787878788,100,77.1428571428572,NA,78.2608695652174,92.3076923076923,94.8717948717949,NA,70.8333333333333,83.6104186772139
GH13f0423,4,88.5714285714286,87.0967741935484,59.375,50,88.4615384615385,72.2222222222222,72.1428571428571,100,76.1904761904762,72.7272727272727,100,91.4285714285714,NA,100,92.3076923076923,97.4358974358974,100,70.8333333333333,83.4584155302846
GH13f0407,4,85.7142857142857,93.5483870967742,84.375,72.2222222222222,73.0769230769231,77.7777777777778,64.2857142857143,81.8181818181818,NA,78.7878787878788,100,71.4285714285714,81.4285714285714,86.9565217391304,88.4615384615385,87.1794871794872,100,NA,82.941316313566
GH13f0131,4,88.5714285714286,93.5483870967742,75,83.3333333333333,88.4615384615385,80.5555555555556,87.1428571428571,NA,83.3333333333333,96.969696969697,87.5,74.2857142857143,82.8571428571429,69.5652173913043,92.3076923076923,69.2307692307692,71.4285714285714,79.1666666666667,82.544582625434
GH13f0397,4,100,87.0967741935484,81.25,69.4444444444444,61.5384615384615,77.7777777777778,55,100,95.2380952380952,87.8787878787879,100,85.7142857142857,85.7142857142857,82.6086956521739,65.3846153846154,79.4871794871795,85.7142857142857,79.1666666666667,82.1674641891449
GH13f0443,4,100,87.0967741935484,84.375,72.2222222222222,88.4615384615385,72.2222222222222,59.2857142857143,100,95.2380952380952,84.8484848484848,100,57.1428571428571,71.4285714285714,86.9565217391304,80.7692307692308,64.1025641025641,92.8571428571429,75,81.7781633061846
GH13f0034,4,97.1428571428571,96.7741935483871,43.75,88.8888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.6389848950333
GH13f0400,4,NA,90.3225806451613,NA,94.4444444444444,92.3076923076923,69.4444444444444,76.4285714285714,81.8181818181818,80.9523809523809,75.7575757575758,87.5,57.1428571428571,NA,91.304347826087,92.3076923076923,89.7435897435898,57.1428571428571,79.1666666666667,81.0522588418802
GH13f0410,4,85.7142857142857,83.8709677419355,75,72.2222222222222,92.3076923076923,72.2222222222222,57.1428571428571,90.9090909090909,80.9523809523809,78.7878787878788,100,88.5714285714286,60,78.2608695652174,100,79.4871794871795,100,62.5,80.9971708680217
GH13f0440,4,100,83.8709677419355,75,77.7777777777778,73.0769230769231,66.6666666666667,67.8571428571429,90.9090909090909,NA,81.8181818181818,87.5,71.4285714285714,77.1428571428572,86.9565217391304,92.3076923076923,71.7948717948718,92.8571428571429,79.1666666666667,80.9488867520383
GH13f0394,4,97.1428571428571,NA,56.25,83.3333333333333,65.3846153846154,88.8888888888889,82.1428571428571,72.7272727272727,83.3333333333333,72.7272727272727,NA,88.5714285714286,88.5714285714286,78.2608695652174,76.9230769230769,89.7435897435898,100,66.6666666666667,80.6667181701149
GH13f0444,4,91.4285714285714,90.3225806451613,78.125,NA,NA,83.3333333333333,60,100,85.7142857142857,63.6363636363636,100,74.2857142857143,77.1428571428572,82.6086956521739,NA,74.3589743589744,78.5714285714286,62.5,80.1351869845909
GH13f0129,4,82.8571428571429,77.4193548387097,NA,77.7777777777778,38.4615384615385,94.4444444444444,62.8571428571429,NA,90.4761904761905,90.9090909090909,100,51.4285714285714,87.1428571428571,91.304347826087,92.3076923076923,NA,100,58.3333333333333,79.7146323107052
GH13f0447,4,88.5714285714286,90.3225806451613,81.25,55.5555555555556,69.2307692307692,88.8888888888889,38.5714285714286,81.8181818181818,NA,90.9090909090909,87.5,74.2857142857143,88.5714285714286,78.2608695652174,92.3076923076923,92.3076923076923,71.4285714285714,83.3333333333333,79.5948956464797
GH13f0422,4,88.5714285714286,80.6451612903226,75,55.5555555555556,76.9230769230769,66.6666666666667,76.4285714285714,54.5454545454545,88.0952380952381,90.9090909090909,87.5,77.1428571428572,65.7142857142857,91.304347826087,84.6153846153846,92.3076923076923,100,79.1666666666667,79.5050821254655
