Username,Section,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T15,T16,T17,T18,T19,T20,T21,T22,T23,AvgCrtPct
GHQ14s0479,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.3333333333333,85.7142857142857,62.8571428571429,86.9565217391304,86.6666666666667,70,80,78.5714285714286,63.6363636363636,84.6153846153846,57.1428571428571,76.3176349342357
GHQ14s0407,4,100,100,88.5714285714286,90,77.7777777777778,50,72,93.3333333333333,92.5,93.3333333333333,78.5714285714286,77.1428571428572,86.9565217391304,63.3333333333333,17.5,64,64.2857142857143,63.6363636363636,76.9230769230769,64.2857142857143,75.7075441466746
GHQ14s0500,4,NA,NA,NA,NA,94.4444444444444,86.6666666666667,NA,76.6666666666667,82.5,90,100,NA,69.5652173913043,76.6666666666667,NA,76,14.2857142857143,NA,NA,64.2857142857143,75.5528264006525
GHQ14s0488,4,100,100,80,65,51.85,66.6666666666667,88,66.6666666666667,97.5,66.6666666666667,78.5714285714286,74.2857142857143,86.9565217391304,73.3333333333333,85,72,71.4285714285714,54.5454545454545,53.8461538461538,78.5714285714286,75.5444303160608
GHQ14s0438,4,100,90,NA,100,77.7777777777778,66.6666666666667,80,50,100,43.3333333333333,85.7142857142857,68.5714285714286,91.304347826087,90,70,88,71.4285714285714,27.2727272727273,84.6153846153846,50,75.509711747698
GHQ14s0516,4,88.5714285714286,100,51.4285714285714,85,66.6666666666667,66.6666666666667,32,NA,97.5,NA,88.8888888888889,48.5714285714286,86.9565217391304,83.3333333333333,72.5,76,78.5714285714286,72.7272727272727,92.3076923076923,64.2857142857143,75.1097563199012
GHQ14s0446,4,88.5714285714286,100,71.4285714285714,85,61.1111111111111,70,76,63.3333333333333,85,60,85.7142857142857,42.8571428571429,86.9565217391304,70,55,72,78.5714285714286,90.9090909090909,84.6153846153846,71.4285714285714,74.924843513974
GHQ14s0502,4,80,95,80,100,61.1111111111111,66.6666666666667,NA,66.6666666666667,85,66.6666666666667,92.8571428571429,68.5714285714286,82.6086956521739,76.6666666666667,67.5,80,64.2857142857143,63.6363636363636,61.5384615384615,57.1428571428571,74.5220232348379
GHQ14s0448,4,97.1428571428571,100,77.1428571428572,100,0,63.3333333333333,NA,70,NA,90,71.4285714285714,77.1428571428572,78.2608695652174,76.6666666666667,NA,72,64.2857142857143,90.9090909090909,69.2307692307692,64.2857142857143,74.2252530078617
GHQ14s0434,4,91.4285714285714,100,57.1428571428571,90,72.2222222222222,76.6666666666667,60,40,97.5,90,78.5714285714286,60,91.304347826087,73.3333333333333,62.5,64,64.2857142857143,81.8181818181818,69.2307692307692,64.2857142857143,74.2144903405773
GHQ14s0030,4,74.2857142857143,85,60,90,65.5555555555556,53.3333333333333,64,96.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.6051587301587
GHQ14s0028,4,74.2857142857143,80,68.5714285714286,80,72.2222222222222,46.6666666666667,92,73.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.3849206349206
GHQ14s0498,4,85.7142857142857,85,51.4285714285714,80,69.4444444444444,66.6666666666667,80,66.6666666666667,67.5,70,92.8571428571429,71.4285714285714,78.2608695652174,73.3333333333333,65,68,64.2857142857143,72.7272727272727,76.9230769230769,71.4285714285714,72.8332593734768
GHQ14s0435,4,91.4285714285714,100,74.2857142857143,95,94.4444444444444,76.6666666666667,84,73.3333333333333,87.5,86.6666666666667,71.4285714285714,71.4285714285714,56.5217391304348,33.3333333333333,55,76,50,27.2727272727273,69.2307692307692,78.5714285714286,72.6056268610617
GHQ14s0425,4,80,95,22.8571428571429,75,61.1111111111111,73.3333333333333,84,76.6666666666667,20,90,78.5714285714286,68.5714285714286,97.8260869565217,96.6666666666667,60,88,85.7142857142857,45.4545454545455,69.2307692307692,78.5714285714286,72.3287446852664
GHQ14s0412,4,85.7142857142857,75,71.4285714285714,85,75.9277777777778,63.3333333333333,64,56.6666666666667,75,NA,71.4285714285714,NA,82.6086956521739,90,57.5,84,57.1428571428571,72.7272727272727,69.2307692307692,64.2857142857143,72.2774730771108
GHQ14s0424,4,91.4285714285714,85,71.4285714285714,95,NA,NA,76,63.3333333333333,97.5,60,85.7142857142857,22.8571428571429,65.2173913043478,63.3333333333333,57.5,84,71.4285714285714,54.5454545454545,84.6153846153846,71.4285714285714,72.2405895231982
GHQ14s0107,4,77.1428571428572,95,65.7142857142857,90,61.1111111111111,73.3333333333333,72,60,92.5,66.6666666666667,71.4285714285714,57.1428571428571,65.2173913043478,80,70,NA,NA,72.7272727272727,53.8461538461538,NA,71.990029436321
GHQ14s0077,4,100,90,60,85,94.4444444444444,60,68,63.3333333333333,87.5,73.3333333333333,64.2857142857143,54.2857142857143,78.2608695652174,60,67.5,64,52.3785714285714,NA,NA,NA,71.9012929809605
GHQ14s0506,4,91.4285714285714,95,NA,95,58.3333333333333,70,76,56.6666666666667,85,90,78.5714285714286,48.5714285714286,78.2608695652174,70,65,52,71.4285714285714,27.2727272727273,84.6153846153846,71.4285714285714,71.8198712043106
GHQ14s0051,4,100,95,65.7142857142857,95,NA,76.6666666666667,64,33.3333333333333,NA,NA,55.5555555555556,60,69.5652173913043,NA,NA,NA,NA,NA,NA,NA,71.4835058661146
GHQ14s0115,4,100,90,68.5714285714286,100,72.2222222222222,96.6666666666667,88,73.3333333333333,95,60,92.8571428571429,62.8571428571429,56.5217391304348,NA,60,76,30.95,18.1818181818182,38.4615384615385,NA,71.090168460096
GHQ14s0420,4,91.4285714285714,95,68.5714285714286,85,NA,70,80,63.3333333333333,87.5,73.3333333333333,85.7142857142857,45.7142857142857,69.5652173913043,76.6666666666667,52.5,NA,NA,36.3636363636364,69.2307692307692,50,70.5836192792714
